city_risk,season_risk,forecast_risk,income_volatility,platform_count,weeks_active,persona_type,weekly_premium
0.6213,0.89,1.0,0.4661,1,16,0,122.3
0.7217,0.2617,0.2279,0.702,3,32,1,91.78
0.6501,0.256,0.2008,0.1751,3,25,0,67.34
0.5944,0.8131,0.661,0.4808,2,22,2,113.24
0.6462,0.8587,0.8206,0.6441,2,11,2,118.71
0.5425,0.2242,0.2632,0.1353,3,12,0,69.05
0.5666,0.3217,0.3761,0.1306,2,18,0,79.37
0.6707,0.2398,0.272,0.5327,3,8,1,80.28
0.6346,0.3842,0.475,0.1175,2,48,2,92.07
0.6341,0.7959,1.0,0.2799,2,45,1,115.44
0.6769,0.7261,0.8726,0.761,3,24,1,117.04
0.5974,0.4699,0.4339,0.5188,3,11,2,94.51
0.6707,0.2054,0.2483,0.5641,1,13,0,90.84
0.5998,0.7323,0.815,0.3516,3,10,2,95.45
0.5708,0.867,1.0,0.4182,3,6,0,114.03
0.5975,0.2858,0.225,0.6067,1,29,1,100.57
0.6539,0.9654,0.9922,0.3062,3,10,2,113.63
0.574,0.6618,0.8542,0.2904,1,23,2,110.07
0.6003,0.9913,0.7861,0.2685,1,31,1,118.25
0.7037,0.4118,0.4724,0.6823,3,41,1,105.55
0.6218,0.6879,0.5118,0.11,3,17,0,94.99
0.6583,0.8209,0.8831,0.6057,3,10,1,114.32
0.6127,0.2878,0.26,0.5819,2,51,0,90.23
0.5765,0.5408,0.6033,0.354,2,30,2,96.41
0.5482,0.7358,0.7781,0.762,3,37,2,100.9
0.5913,0.717,0.6718,0.4727,3,48,0,100.7
0.7387,0.3674,0.2871,0.4546,2,23,2,86.97
0.7332,0.6389,0.7303,0.5147,1,22,0,115.92
0.6217,0.252,0.1976,0.7576,2,28,0,102.58
0.7001,0.28,0.3574,0.4567,2,17,1,83.36
0.6503,0.7434,0.9002,0.7593,3,36,1,113.96
0.5738,0.6424,0.5582,0.6955,3,33,1,98.41
0.7173,0.6992,0.4989,0.7992,3,20,2,110.79
0.6399,0.8601,0.8289,0.5947,2,50,1,122.94
0.6421,0.2297,0.2436,0.599,2,31,0,94.09
0.6506,0.2908,0.2395,0.1262,3,12,2,73.45
0.6876,0.8434,0.652,0.1794,2,50,2,106.27
0.6213,0.7258,0.7843,0.7714,1,30,1,121.28
0.6887,0.7639,0.5615,0.4251,1,39,0,120.1
0.6775,0.8898,0.6388,0.5554,3,5,0,127.83
0.6122,0.34,0.2965,0.5857,1,30,2,94.13
0.6143,0.8468,0.9613,0.1349,2,47,2,111.96
0.6437,0.4371,0.4154,0.1857,1,4,0,87.37
0.5447,0.3714,0.4599,0.2536,2,30,1,83.39
0.5843,0.4589,0.4463,0.3411,3,40,1,93.37
0.5702,0.4069,0.4219,0.2112,2,12,2,80.39
0.5903,0.3134,0.2942,0.7098,1,16,0,102.87
0.5972,0.7479,0.8672,0.5236,3,34,1,106.9
0.6569,0.5572,0.6214,0.4062,3,12,2,102.55
0.6608,0.9159,0.6572,0.4335,1,46,2,124.42
0.6506,0.4232,0.5141,0.5129,2,8,2,96.96
0.6367,0.8327,0.9766,0.2447,1,27,0,115.76
0.6864,0.4388,0.5701,0.4834,3,2,0,95.38
0.5671,0.6486,0.6589,0.4896,2,38,2,106.56
0.6683,0.9073,1.0,0.2848,2,45,1,114.03
0.6987,0.3323,0.2924,0.6391,1,2,1,101.03
0.5981,0.6978,0.7773,0.1473,3,29,0,93.73
0.6967,0.4124,0.3566,0.5382,2,1,0,95.72
0.7022,0.4092,0.5079,0.4321,1,28,2,100.04
0.5616,0.3458,0.3439,0.4923,2,14,0,83.2
0.6016,0.4099,0.2972,0.3622,2,38,2,87.65
0.6034,0.7237,0.6343,0.5102,1,6,0,106.67
0.6514,0.6585,0.576,0.4011,2,5,2,103.57
0.6694,0.4783,0.3917,0.2076,2,9,2,99.02
0.6183,0.9428,1.0,0.2012,1,13,0,121.09
0.7158,0.9975,0.9926,0.5344,1,41,0,132.21
0.6368,0.4017,0.3577,0.3132,3,14,2,80.55
0.617,0.4159,0.3695,0.373,2,8,2,82.19
0.6456,0.9898,0.9126,0.7375,2,47,2,133.76
0.6259,0.5627,0.4763,0.2671,1,40,1,92.07
0.5869,0.2164,0.2553,0.7135,2,23,1,81.56
0.5855,0.8724,0.913,0.5528,2,51,1,118.18
0.6468,0.613,0.4648,0.7766,3,5,2,104.31
0.6115,0.201,0.1924,0.1477,3,37,1,79.95
0.5989,0.8653,0.7579,0.6647,3,21,1,119.76
0.57,0.3533,0.4229,0.2081,3,46,0,79.94
0.6836,0.8965,0.7249,0.2306,1,2,0,110.25
0.6264,0.2427,0.2526,0.2636,1,38,2,72.56
0.6212,0.7842,0.8991,0.4106,2,29,2,117.67
0.6658,0.3184,0.3133,0.5339,3,19,0,98.21
0.562,0.5571,0.6419,0.6904,3,19,2,96.95
0.6413,0.8911,0.739,0.7524,3,6,2,111.51
0.8021,0.2791,0.211,0.21,1,10,0,87.43
0.7624,0.7031,0.5616,0.3551,2,48,0,108.06
0.5774,0.4272,0.5526,0.7489,2,25,0,97.98
0.6914,0.3186,0.3943,0.3688,1,34,1,100.22
0.6531,0.4064,0.4005,0.538,1,40,0,101.59
0.6115,0.5259,0.6337,0.376,1,31,2,108.91
0.6807,0.2571,0.2464,0.621,2,31,0,86.3
0.5607,0.2779,0.206,0.3692,1,14,1,92.51
0.6154,0.3947,0.2951,0.4291,1,28,0,100.37
0.6224,0.5998,0.4538,0.1315,3,5,1,79.28
0.598,0.7166,0.5558,0.712,3,22,0,106.28
0.5255,0.3645,0.3717,0.7662,2,41,2,96.69
0.6046,0.3177,0.4038,0.5175,3,27,0,86.18
0.7047,0.4169,0.3061,0.5898,3,45,1,90.31
0.619,0.3089,0.36,0.7222,1,41,1,108.83
0.6397,0.3366,0.4365,0.3008,2,5,0,85.63
0.6372,0.3432,0.3322,0.6026,2,14,2,95.6
0.6589,0.3854,0.3517,0.2993,3,2,2,83.86
0.6281,0.2931,0.2628,0.6463,3,48,1,84.35
0.6654,0.31,0.331,0.2779,2,44,1,91.93
0.6026,0.369,0.3265,0.2497,3,42,2,79.69
0.5797,0.6594,0.551,0.7245,3,3,1,103.81
0.6565,0.8065,0.663,0.2337,1,37,0,111.23
0.6006,0.2132,0.1892,0.3994,1,28,1,84.96
0.7075,0.3133,0.2594,0.3306,3,34,0,81.22
0.594,0.592,0.5796,0.2985,2,29,2,101.43
0.6637,0.302,0.2811,0.7414,1,13,2,91.18
0.5985,0.3506,0.4433,0.3154,2,26,0,92.44
0.7122,0.7643,0.8393,0.2314,3,43,2,106.81
0.6375,0.3494,0.2988,0.5759,3,22,2,85.27
0.5045,0.3681,0.2894,0.5331,2,14,1,87.1
0.6281,0.35,0.359,0.425,2,26,1,89.28
0.6199,0.8095,0.7328,0.2937,3,4,1,103.35
0.584,0.7339,0.73,0.317,1,42,1,118.45
0.648,0.6119,0.58,0.4299,1,3,1,112.25
0.6121,0.2058,0.1722,0.3245,2,22,1,86.48
0.6313,0.4881,0.4355,0.6266,1,35,0,96.7
0.519,0.4268,0.4864,0.6665,2,29,1,98.98
0.6489,0.6727,0.7756,0.4645,1,51,2,113.51
0.6401,0.34,0.3542,0.6096,2,34,2,93.13
0.6753,0.3987,0.4744,0.5867,2,23,0,97.53
0.5636,0.5342,0.6727,0.4485,1,1,2,102.39
0.5631,0.791,0.5598,0.4723,1,2,1,115.89
0.6613,0.7935,0.8668,0.5166,3,21,1,108.94
0.6261,0.4035,0.4906,0.2835,1,34,0,102.77
0.5968,0.4269,0.3961,0.722,2,30,1,106.66
0.7031,0.7169,0.5165,0.664,3,52,0,109.66
0.5659,0.8457,0.7506,0.2103,2,35,1,115.68
0.6101,0.3124,0.3601,0.3947,2,39,2,88.32
0.6586,0.4025,0.294,0.3743,3,6,0,91.43
0.6302,0.231,0.1762,0.2898,1,34,2,80.57
0.5473,0.4466,0.3562,0.6008,3,24,0,86.17
0.6563,0.215,0.2008,0.4084,3,2,1,77.29
0.577,0.4191,0.3348,0.646,2,32,2,100.32
0.7596,0.2888,0.2795,0.3398,2,52,0,95.55
0.6,0.433,0.5394,0.7282,3,41,2,99.92
0.5743,0.518,0.4667,0.1105,3,2,1,78.01
0.612,0.5304,0.378,0.3926,3,7,1,95.5
0.5563,0.336,0.3561,0.6794,3,6,2,90.68
0.6312,0.339,0.4034,0.2068,3,52,1,84.22
0.5956,0.218,0.1587,0.3164,1,50,1,82.58
0.5618,0.6253,0.7748,0.4239,2,24,1,102.62
0.548,0.4236,0.3869,0.7623,1,2,1,102.9
0.6464,0.8055,1.0,0.1157,2,32,1,117.12
0.675,0.666,0.8383,0.138,3,36,1,96.03
0.5926,0.4066,0.4932,0.1541,3,30,0,82.32
0.6956,0.9291,1.0,0.7023,3,7,2,132.56
0.5922,0.2857,0.2611,0.1033,2,50,1,76.09
0.5739,0.7749,0.6201,0.5702,2,43,1,109.15
0.6183,0.3596,0.3475,0.3581,1,13,2,88.92
0.5918,0.3003,0.3564,0.5613,3,14,1,82.82
0.5518,0.6034,0.7816,0.4516,3,35,2,104.53
0.5717,0.684,0.7172,0.3441,1,23,0,107.07
0.5688,0.6146,0.5941,0.1497,1,8,0,99.97
0.5996,0.6574,0.6698,0.7862,1,5,2,130.92
0.5595,0.6625,0.7316,0.4237,1,5,2,109.55
0.6881,0.3221,0.3118,0.1776,3,50,0,78.55
0.6468,0.2437,0.2435,0.2693,1,17,1,80.54
0.5971,0.7477,0.6354,0.4358,2,12,1,106.04
0.5406,0.5858,0.6896,0.2176,1,14,2,105.11
0.7149,0.2584,0.222,0.2263,1,2,1,94.42
0.5663,0.6919,0.5724,0.7193,1,37,0,111.71
0.5093,0.2271,0.285,0.4977,3,37,1,83.18
0.6044,0.2997,0.2659,0.7134,3,9,0,94.76
0.6035,0.5341,0.4118,0.6492,1,45,0,104.77
0.7191,0.2729,0.2384,0.1758,3,31,0,83.9
0.5917,0.221,0.2459,0.4676,2,21,2,77.74
0.6808,0.7642,0.8405,0.6585,2,46,1,106.06
0.6731,0.3183,0.3754,0.7315,1,48,1,99.16
0.5684,0.4466,0.4617,0.2041,2,51,0,92.75
0.6505,0.3817,0.2726,0.5154,2,52,1,93.23
0.5591,0.8562,0.8794,0.7456,1,31,0,126.92
0.7129,0.3573,0.3801,0.7822,1,31,1,111.04
0.6881,0.4015,0.3228,0.4237,1,47,1,92.54
0.6437,0.8205,0.6282,0.7372,1,15,0,121.58
0.58,0.2214,0.1602,0.1892,2,33,1,80.51
0.6458,0.6512,0.6529,0.5326,1,51,1,107.13
0.6546,0.7956,0.7003,0.5295,3,35,2,106.52
0.6373,0.8646,0.6836,0.676,3,11,0,110.54
0.5868,0.3329,0.3548,0.1717,2,15,1,84.52
0.607,0.8212,0.7804,0.1502,1,39,1,114.21
0.6336,0.6593,0.621,0.5622,3,28,2,103.25
0.5429,0.7267,0.9069,0.1203,1,2,2,109.77
0.593,0.5211,0.6402,0.1351,1,5,0,100.35
0.6516,0.9718,1.0,0.3979,2,34,2,122.15
0.6531,0.2346,0.2027,0.4103,3,8,2,74.58
0.6545,0.7026,0.6609,0.7722,3,20,0,107.33
0.6796,0.732,0.7358,0.1392,3,48,2,95.73
0.7245,0.2396,0.3017,0.1511,3,27,2,77.67
0.5686,0.4195,0.5426,0.7089,1,25,0,109.82
0.6346,0.2191,0.2528,0.6173,3,41,1,90.27
0.677,0.5661,0.7168,0.534,1,52,2,104.48
0.6406,0.8488,0.5986,0.6272,2,8,1,108.72
0.6805,0.3675,0.3656,0.2323,3,44,0,84.42
0.6353,0.4044,0.4958,0.6966,3,5,1,95.51
0.6484,0.2641,0.2901,0.1005,3,18,0,69.87
0.6288,0.3171,0.327,0.4813,1,34,1,92.61
0.7242,0.4111,0.4927,0.3162,2,50,1,93.18
0.584,0.9556,1.0,0.312,1,46,0,124.49
0.6074,0.3847,0.404,0.197,2,46,1,94.07
0.6774,0.667,0.5268,0.3065,3,12,2,95.98
0.6348,0.8577,0.8975,0.1323,2,17,2,101.71
0.6153,0.4627,0.3629,0.1495,2,44,0,80.26
0.6418,0.9941,0.8804,0.5473,3,37,1,103.6
0.574,0.6319,0.7344,0.4099,1,12,2,102.19
0.5858,0.3258,0.2541,0.2935,1,43,1,90.85
0.6035,0.3612,0.3754,0.2954,2,52,1,93.52
0.5984,0.9529,0.8737,0.2672,3,7,2,111.15
0.6267,0.6511,0.6647,0.2047,3,9,0,98.28
0.6442,0.304,0.2579,0.556,1,45,2,94.69
0.6906,0.2695,0.2846,0.5744,3,20,2,77.4
0.6498,0.2427,0.2897,0.3931,3,19,1,75.65
0.5698,0.4072,0.2918,0.2588,2,30,0,78.37
0.6687,0.2896,0.3477,0.4632,1,30,2,90.27
0.6093,0.6436,0.7673,0.6716,2,33,2,112.05
0.7413,0.7857,0.8676,0.4196,3,49,1,110.53
0.5243,0.3629,0.3528,0.3339,2,3,1,90.85
0.6392,0.8581,0.894,0.2658,3,7,1,114.55
0.603,0.2498,0.2671,0.2316,1,40,0,93.03
0.7031,0.2145,0.1836,0.1411,2,26,1,84.14
0.5372,0.7299,0.715,0.7703,2,35,1,115.54
0.6001,0.8344,0.7889,0.5768,2,35,2,110.68
0.6732,0.237,0.1809,0.6004,2,26,0,84.44
0.6646,0.2709,0.2477,0.4696,3,44,0,84.98
0.6033,0.5634,0.5193,0.6648,1,46,2,109.18
0.5924,0.6688,0.7918,0.3406,3,46,0,111.21
0.6896,0.4306,0.5101,0.3164,2,22,2,99.05
0.6401,0.4566,0.4121,0.1411,2,33,1,86.67
0.7145,0.8167,0.5947,0.4044,2,31,0,117.82
0.6356,0.3071,0.3029,0.7231,1,5,2,100.03
0.6103,0.3332,0.3508,0.1457,1,40,1,83.56
0.5438,0.2805,0.2717,0.6841,1,14,2,90.7
0.6135,0.3038,0.3748,0.4575,1,49,0,106.16
0.609,0.3275,0.369,0.4478,2,5,0,88.33
0.533,0.8109,1.0,0.477,2,43,2,109.12
0.6466,0.6923,0.6001,0.6178,2,6,1,118.85
0.6957,0.2415,0.2941,0.229,3,36,0,82.36
0.5813,0.6388,0.6991,0.6856,1,42,2,120.52
0.5866,0.3639,0.2754,0.6561,2,49,1,86.64
0.7161,0.3156,0.3653,0.7044,3,27,0,84.66
0.7019,0.491,0.5152,0.7444,2,48,2,114.3
0.5944,0.6986,0.9009,0.688,1,27,0,119.71
0.534,0.4725,0.5395,0.4849,2,45,2,106.29
0.5765,0.6014,0.7658,0.6704,1,39,0,113.57
0.7047,0.8154,0.8884,0.1691,1,50,0,113.98
0.7266,0.319,0.3713,0.5649,2,36,2,101.88
0.6127,0.2392,0.3025,0.6525,2,38,1,97.4
0.6106,0.7363,0.5997,0.536,1,4,2,114.22
0.5814,0.9192,0.8623,0.7724,1,38,2,123.75
0.6174,0.2122,0.2261,0.7169,1,47,2,89.92
0.6231,0.8898,0.9481,0.4165,2,5,2,116.83
0.6731,0.3844,0.2938,0.3328,2,48,0,82.91
0.6514,0.7902,0.9305,0.2974,2,31,1,111.92
0.6608,0.45,0.3481,0.4019,3,15,0,93.77
0.6301,0.5369,0.6045,0.3237,3,26,2,98.84
0.5424,0.393,0.4564,0.173,1,21,1,87.51
0.5359,0.2306,0.2258,0.4579,2,12,1,76.32
0.6583,0.6658,0.5347,0.1277,2,17,1,93.56
0.6216,0.2144,0.2536,0.3316,3,49,0,72.98
0.5936,0.8674,1.0,0.5787,3,19,2,117.62
0.5927,0.604,0.5042,0.3361,3,11,2,95.76
0.587,0.3526,0.3979,0.7892,3,20,2,92.03
0.6638,0.7841,0.9629,0.2868,3,21,2,98.49
0.6874,0.861,0.9656,0.5523,1,37,1,126.25
0.5069,0.6921,0.6265,0.1753,2,36,1,95.16
0.6639,0.301,0.3206,0.5376,1,13,2,99.71
0.6807,0.3989,0.3297,0.6198,1,39,2,99.94
0.696,0.4928,0.5758,0.5926,3,5,0,91.2
0.6364,0.7562,0.6258,0.2154,3,26,0,90.79
0.6041,0.7289,0.593,0.1963,2,33,0,103.58
0.666,0.8874,0.7194,0.7636,3,33,2,114.25
0.6237,0.6156,0.7536,0.6569,2,6,1,106.88
0.5589,0.867,1.0,0.4282,2,9,2,113.53
0.625,0.7671,0.6545,0.2416,3,52,2,89.47
0.5971,0.3737,0.3422,0.2676,1,6,0,86.04
0.5441,0.8486,0.8124,0.4143,1,36,2,122.07
0.6266,0.2121,0.2498,0.3573,2,41,2,79.6
0.6708,0.9672,0.7356,0.2247,1,31,0,119.96
0.6278,0.212,0.2577,0.3802,2,28,0,82.49
0.6454,0.7737,0.7379,0.3327,2,9,1,112.66
0.6154,0.2564,0.2266,0.7016,1,40,2,93.43
0.6877,0.4085,0.4391,0.5914,2,32,2,95.98
0.7414,0.4097,0.5052,0.6866,3,46,2,93.67
0.6628,0.7784,0.963,0.6081,2,5,1,126.02
0.5949,0.3832,0.3178,0.2209,3,33,2,82.89
0.6101,0.3034,0.2945,0.6111,2,35,1,83.98
0.6113,0.6981,0.5439,0.3836,2,9,1,105.26
0.5743,0.2856,0.2082,0.346,1,20,0,98.31
0.6635,0.8102,0.6957,0.3036,2,23,0,104.66
0.5966,0.4877,0.4461,0.7866,3,29,1,94.28
0.5484,0.259,0.2753,0.4172,1,31,0,88.67
0.6088,0.3245,0.2941,0.752,1,26,0,104.47
0.6339,0.4376,0.3204,0.7165,3,11,0,90.37
0.6389,0.8777,1.0,0.5054,2,26,2,120.01
0.6548,0.5755,0.458,0.4686,3,8,2,97.16
0.6397,0.2115,0.2321,0.3423,3,4,2,70.19
0.6147,0.7182,0.7302,0.6413,1,19,1,122.77
0.5893,0.3713,0.4473,0.1979,1,5,0,89.63
0.6763,0.5485,0.6629,0.6491,1,40,1,109.94
0.5708,0.9238,0.6661,0.1719,3,44,1,93.11
0.594,0.3984,0.5114,0.2541,2,36,1,81.46
0.672,0.3275,0.3006,0.2416,1,18,1,90.23
0.5334,0.7857,1.0,0.4095,1,20,0,118.85
0.6303,0.4107,0.335,0.1878,2,8,0,75.68
0.6916,0.7057,0.7824,0.475,1,2,0,126.01
0.6565,0.9256,0.8662,0.7069,2,32,0,115.72
0.6144,0.4045,0.5153,0.7143,1,25,0,106.97
0.5584,0.4308,0.4644,0.4508,1,47,2,93.08
0.5549,0.2517,0.2969,0.1392,2,9,2,79.55
0.6454,0.2098,0.2047,0.6647,3,20,0,84.86
0.6567,0.211,0.2377,0.4458,2,31,0,81.64
0.5707,0.7187,0.6744,0.5312,2,2,0,100.99
0.6135,0.2258,0.2103,0.7803,2,49,1,83.83
0.5898,0.604,0.7677,0.7173,3,15,0,103.19
0.472,0.4421,0.3508,0.5242,1,13,1,95.84
0.5204,0.2507,0.3027,0.2591,1,14,0,78.41
0.7013,0.9929,1.0,0.7462,2,41,0,134.63
0.6085,0.9751,0.9948,0.1219,1,2,1,126.54
0.6407,0.8404,0.6061,0.7108,3,31,1,116.17
0.6889,0.6943,0.6581,0.6768,2,44,0,108.37
0.5236,0.8632,1.0,0.4017,1,5,0,118.78
0.6999,0.3657,0.3468,0.7595,1,16,2,105.35
0.6162,0.8718,0.6711,0.1164,1,47,0,115.8
0.6333,0.6517,0.551,0.25,2,33,0,97.91
0.6221,0.6767,0.534,0.1459,3,9,2,92.18
0.5851,0.9699,0.9736,0.7857,2,5,0,128.72
0.7149,0.7981,0.9433,0.7106,1,23,0,124.72
0.6081,0.8486,0.8601,0.6966,1,18,0,124.08
0.6499,0.7939,0.8383,0.3747,1,31,1,118.92
0.7164,0.7532,0.5956,0.6799,2,35,1,115.0
0.5783,0.3344,0.3253,0.2818,3,41,1,86.76
0.6615,0.4038,0.505,0.3413,2,23,2,82.5
0.6294,0.6755,0.529,0.309,1,17,1,108.09
0.687,0.3109,0.3998,0.2157,2,37,1,87.68
0.5491,0.4276,0.4446,0.4757,1,14,1,91.76
0.5517,0.697,0.5578,0.7231,3,11,1,108.65
0.571,0.597,0.584,0.157,3,51,2,92.37
0.6266,0.8175,0.9819,0.3646,1,47,2,123.89
0.6473,0.5176,0.4081,0.4477,3,32,2,101.63
0.6832,0.3805,0.2967,0.3353,3,50,1,88.4
0.6082,0.6696,0.789,0.3805,3,32,0,102.95
0.5863,0.4334,0.4479,0.3298,3,15,2,93.31
0.6468,0.9392,0.7821,0.2695,1,40,0,124.28
0.6784,0.9797,1.0,0.7567,2,27,1,129.39
0.6923,0.2611,0.2994,0.1807,1,38,1,81.97
0.6428,0.2227,0.1788,0.4412,1,21,1,87.24
0.7105,0.5575,0.5271,0.3822,1,40,1,102.08
0.5671,0.699,0.8276,0.5868,2,4,0,117.69
0.5782,0.3903,0.4719,0.3014,1,45,2,100.92
0.6741,0.4217,0.3025,0.6758,3,50,1,89.45
0.6739,0.8797,0.8067,0.1396,1,28,0,106.55
0.7028,0.3066,0.2906,0.1947,2,5,0,80.99
0.6931,0.7608,0.8802,0.5827,1,26,1,122.02
0.6711,0.3222,0.3772,0.2816,1,34,1,87.77
0.6475,0.9087,0.7402,0.5086,3,2,1,117.12
0.7167,0.8445,0.9643,0.4932,2,20,1,124.92
0.654,0.3281,0.3701,0.3064,1,5,1,95.27
0.7075,0.4403,0.3481,0.6576,3,40,1,105.84
0.6965,0.9536,1.0,0.7018,3,32,1,129.19
0.6873,0.4293,0.4248,0.2995,1,3,0,104.31
0.6378,0.9535,1.0,0.1034,2,17,1,119.5
0.6768,0.7599,0.8287,0.6843,3,49,2,106.14
0.6881,0.8056,0.7555,0.3447,3,18,0,106.95
0.6433,0.2808,0.2542,0.7919,1,23,1,91.72
0.6775,0.2009,0.2507,0.5766,1,11,1,90.53
0.6131,0.6536,0.7624,0.2657,2,40,0,103.54
0.6605,0.2856,0.3065,0.4042,1,31,0,88.04
0.6947,0.3618,0.2999,0.1639,3,35,0,74.11
0.5487,0.413,0.2977,0.2567,2,11,1,86.81
0.6992,0.9198,0.7493,0.1796,2,15,2,113.82
0.6077,0.3939,0.2952,0.5764,1,23,0,90.41
